eid,stimOff_times,goCueTrigger_times,firstMovement_times,goCue_times,probabilityLeft,response_times,feedbackType,rewardVolume,contrastRight,choice,feedback_times,stimOn_times,contrastLeft,intervals_0,intervals_1,bwm_include,saturation_stim_plus04,saturation_feedback_plus04,saturation_move_minus02,saturation_stim_minus04_minus01,saturation_stim_plus06,saturation_stim_minus06_plus06,saturation_stim_minus06_minus01,saturation_stim_plus01,stim_side,rt
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,853.4289152408535,850.4455629208768,852.093241340001,850.4463468608504,0.8,852.315574385633,1.0,1.5,1.0,-1.0,852.3156599108523,850.4453802908505,,848.7247523708487,853.9289872772224,True,False,False,False,False,False,False,False,False,right,1.6478610491504924
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,856.8286752308568,855.5119950725353,855.592241340001,855.5126401808556,0.8,855.7134968272876,1.0,1.5,,1.0,855.7136200808558,855.5118735908555,0.125,854.7010880108547,857.328714893208,True,False,False,False,False,False,False,False,False,left,0.0803677491454664
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,862.1279785808622,860.3115483094674,860.646241340001,860.3122935008603,0.8,861.0062575871625,1.0,1.5,,1.0,861.006357420861,860.3114269208603,0.25,858.064518300858,862.628082246287,True,False,False,False,False,False,False,False,False,left,0.33481441914068455
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,875.2604652008753,873.2607875953164,873.957241340001,873.2615317808733,0.8,874.1529005512302,1.0,1.5,,1.0,874.1530092908741,873.2605985408733,0.0625,870.7368509408708,875.7605258983359,True,False,False,False,False,False,False,False,False,left,0.6966427991277442
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,878.8937685008789,877.1111358690208,877.5802413400011,877.1118467108771,0.8,877.769337401129,1.0,1.5,,1.0,877.7694476108778,877.1109134708771,0.0625,876.5663346008765,879.3938451825264,True,False,False,False,False,False,False,False,False,left,0.4693278691239584
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,886.1771067608862,881.4941609535053,881.672241340001,881.4951416708815,0.8,885.0413084608163,1.0,1.5,,1.0,885.041420340885,881.4940751108815,0.125,880.1492429408802,886.6772333709265,True,False,False,False,False,False,False,False,False,left,0.17816622911959712
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,892.4096167808924,890.8098658193985,891.0322413400011,890.8107433508908,0.8,891.3043693302609,1.0,1.5,,1.0,891.3044606408913,890.8096767908908,1.0,887.4888422408875,892.9096827276204,True,False,False,False,False,False,False,False,False,left,0.22256454911030232
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,895.9427301008959,894.3766964987692,894.6992413400011,894.3773866508944,0.8,894.8195032157428,1.0,1.5,,1.0,894.8196090908948,894.3765200708943,0.125,893.7129864308937,896.4428298401252,True,False,False,False,False,False,False,False,False,left,0.3227212691067507
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,903.5255384109036,902.075990010171,902.250241340001,902.0766499809021,0.8,902.4027926352023,1.0,1.5,,1.0,902.4028840209024,902.075816730902,0.25,901.3975845609014,904.0256076704111,True,False,False,False,False,False,False,False,False,left,0.17442460909899182
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,906.8922017109069,905.5762190526473,905.6642413400011,905.5769665809056,0.8,905.787320997635,1.0,1.5,,1.0,905.7874122009058,905.5760000109055,1.0,904.7913118209048,907.3922377845353,True,False,False,False,False,False,False,False,False,left,0.08824132909558102
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,911.041686720911,909.5926599384604,909.7872413400011,909.5935982109096,0.8,909.9278639274291,1.0,1.5,,1.0,909.92796477091,909.5924649909095,1.0,908.1483427509081,911.541786133302,True,False,False,False,False,False,False,False,False,left,0.1947763490915122
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,915.6921216309157,914.1757053609064,914.4292413400011,914.1765732009142,0.8,914.5823084141447,1.0,1.5,,1.0,914.5823992809146,914.1755399709142,0.0625,912.3272914809123,916.1922235032185,True,False,False,False,False,False,False,False,False,left,0.25370136908691165
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,924.5582016009246,922.8419080265022,923.1452413400011,922.8428398209229,0.2,923.4413143424284,1.0,1.5,0.25,-1.0,923.4414132909235,922.8417066009229,,920.4165824709204,925.05833538093,True,False,False,False,False,False,False,False,False,right,0.303534739078259
